"","Event","Athlete","Country","Minutes"
"1","Men","Eliud Kipchoge","Kenya",128.63
"2","Men","Abdi Nageeye","Netherlands",129.97
"3","Men","Bashir Abdi","Belgium",130
"4","Men","Lawrence Cherono","Kenya",130.03
"5","Men","Ayad Lamdassem","Spain",130.27
"6","Men","Suguru Osako","Japan",130.68
"7","Men","Alphonce Simbu","Tanzania",131.58
"8","Men","Galen Rupp","United States",131.68
"9","Men","Othmane El Goumri","Morocco",131.97
"10","Men","Koen Naert","Belgium",132.22
"11","Men","Mohamed Reda El Aaraby","Morocco",132.37
"12","Men","Nicolas Navarro","France",132.83
"13","Men","Marhu Teferi","Israel",133.03
"14","Men","Goitom Kifle","Eritrea",133.37
"15","Men","Jeison Suarez","Colombia",133.48
"16","Men","Tachlowini Gabriyesos","Refugee Olympic Team",134.03
"17","Men","Morhad Amdouni","France",134.55
"18","Men","Hamza Sahli","Morocco",134.8
"19","Men","Yang Shaohui","China",134.97
"20","Men","Eyob Faniel","Italy",135.18
"21","Men","Daniel Mateo","Spain",135.35
"22","Men","Yohanes Ghebregergis","Eritrea",135.57
"23","Men","Abdi Hakin Ulad","Denmark",135.83
"24","Men","Liam Adams","Australia",135.85
"25","Men","El-Hassan El-Abbassi","Bahrain",135.93
"26","Men","Richard Ringer","Germany",136.13
"27","Men","Tiidrek Nurme","Estonia",136.27
"28","Men","Girmaw Amare","Israel",136.28
"29","Men","Jacob Riley","United States",136.43
"30","Men","Amanal Petros","Germany",136.55
"31","Men","Eulalio Munoz","Argentina",136.58
"32","Men","Peng Jianhua","China",136.65
"33","Men","Javier Guerra","Spain",136.7
"34","Men","Elroy Gelant","South Africa",136.72
"35","Men","Oqbe Kibrom Ruesom","Eritrea",136.95
"36","Men","Zane Robertson","New Zealand",137.07
"37","Men","Haimro Alame","Israel",137.28
"38","Men","Adam Nowicki","Poland",137.32
"39","Men","Olivier Irabaruta","Burundi",137.73
"40","Men","Sondre Nordstad Moen","Norway",137.98
"41","Men","Abdihakem Abdirahman","United States",138.45
"42","Men","Tomas Hilifa Rainhold","Namibia",138.47
"43","Men","Derlis Ayala","Paraguay",138.57
"44","Men","Fred Musobo","Uganda",138.65
"45","Men","Hassan Chahdi","France",138.67
"46","Men","Ben Preisner","Canada",139.45
"47","Men","Yassine El Fathaoui","Italy",139.73
"48","Men","Trevor Hofbauer","Canada",139.95
"49","Men","Shim Jung-sub","South Korea",140.6
"50","Men","Hendrik Pfeiffer","Germany",140.72
"51","Men","Felix Chemonges","Uganda",140.88
"52","Men","Yavuz Agrali","Turkey",141
"53","Men","Joaquin Arbe","Argentina",141.25
"54","Men","Chris Thompson","Great Britain",141.48
"55","Men","Tseveenravdangiin Byambajav","Mongolia",141.53
"56","Men","Jose Luis Santana","Mexico",141.53
"57","Men","Dong Guojian","China",141.58
"58","Men","Kevin Seaward","Ireland",141.75
"59","Men","Dieter Kersten","Belgium",142.1
"60","Men","Cristhian Pacheco","Peru",142.2
"61","Men","Peter Herzog","Austria",142.25
"62","Men","Shogo Nakamura","Japan",142.38
"63","Men","Arkadiusz Gardzielewski","Poland",142.83
"64","Men","Malcolm Hicks","New Zealand",143.2
"65","Men","Juan Pacheco","Mexico",143.68
"66","Men","Brett Robinson","Australia",144.07
"67","Men","Khoarahlane Seutloali","Lesotho",145.05
"68","Men","Roman Fosti","Estonia",145.62
"69","Men","Paulo Roberto Paula","Brazil",146.13
"70","Men","Thijs Nijhuis","Denmark",146.98
"71","Men","Paul Pollock","Ireland",147.8
"72","Men","Cameron Levins","Canada",148.72
"73","Men","Yuma Hattori","Japan",150.13
"74","Men","Jesus Arturo Esparza","Mexico",151.85
"75","Men","Jorge Castelblanco","Panama",153.37
"76","Men","Ivan Zarco","Honduras",164.6
"77","Men","Amos Kipruto","Kenya",NA
"78","Men","Bart van Nunen","Netherlands",NA
"79","Men","Stephen Mokoka","South Africa",NA
"80","Men","Lelisa Desisa","Ethiopia",NA
"81","Men","John Hakizimana","Rwanda",NA
"82","Men","Khalid Choukoud","Netherlands",NA
"83","Men","Marcin Chabowski","Poland",NA
"84","Men","Ben Connor","Great Britain",NA
"85","Men","Desmond Mokgobu","South Africa",NA
"86","Men","Bat-Ochiryn Ser-Od","Mongolia",NA
"87","Men","Daniel Ferreira do Nascimento","Brazil",NA
"88","Men","Tadesse Abraham","Switzerland",NA
"89","Men","Yassine Rachik","Italy",NA
"90","Men","Callum Hawkins","Great Britain",NA
"91","Men","Bohdan-Ivan Horodyskyy","Ukraine",NA
"92","Men","Polat Kemboi Arikan","Turkey",NA
"93","Men","Ivan Dario Gonzalez","Colombia",NA
"94","Men","Sisay Lemma","Ethiopia",NA
"95","Men","Shumi Dechasa","Bahrain",NA
"96","Men","Mykola Nyzhnyk","Ukraine",NA
"97","Men","Lemawork Ketema","Austria",NA
"98","Men","Stephen Scullion","Ireland",NA
"99","Men","Oh Joo-han","South Korea",NA
"100","Men","Alemu Bekele","Bahrain",NA
"101","Men","Stephen Kiprotich","Uganda",NA
"102","Men","Gabriel Geay","Tanzania",NA
"103","Men","Daniel Chaves da Silva","Brazil",NA
"104","Men","Oleksandr Sitkovskyy","Ukraine",NA
"105","Men","Shura Kitata","Ethiopia",NA
"106","Men","Jack Rayner","Australia",NA
"107","Women","Peres Jepchirchir","Kenya",147.33
"108","Women","Brigid Kosgei","Kenya",147.6
"109","Women","Molly Seidel","United States",147.77
"110","Women","Roza Dereje","Ethiopia",148.63
"111","Women","Volha Mazuronak","Belarus",149.1
"112","Women","Melat Yisak Kejeta","Germany",149.27
"113","Women","Eunice Chumba","Bahrain",149.6
"114","Women","Mao Ichiyama","Japan",150.22
"115","Women","Malindi Elmore","Canada",150.98
"116","Women","Sinead Diver","Australia",151.23
"117","Women","Helalia Johannes","Namibia",151.37
"118","Women","Fabienne Schlumpf","Switzerland",151.6
"119","Women","Natasha Wodak","Canada",151.68
"120","Women","Karolina Jarzynska","Poland",152.07
"121","Women","Gerda Steyn","South Africa",152.17
"122","Women","Immaculate Chemutai","Uganda",152.38
"123","Women","Sally Kipyego","United States",152.88
"124","Women","Deborah Schoneborn","Germany",153.13
"125","Women","Ayuko Suzuki","Japan",153.23
"126","Women","Neheng Khatala","Lesotho",153.25
"127","Women","Matea Parlov Kostro","Croatia",153.3
"128","Women","Carolina Wikstrom","Sweden",153.32
"129","Women","Ellie Pashley","Australia",153.65
"130","Women","Failuna Abdi Matanga","Tanzania",153.97
"131","Women","Fionnuala McCormack","Ireland",154.15
"132","Women","Lisa Jane Weightman","Australia",154.32
"133","Women","Gladys Tejeda","Peru",154.35
"134","Women","Mieke Gorissen","Belgium",154.4
"135","Women","Elena Loyo","Spain",154.63
"136","Women","Carla Salome Rocha","Portugal",154.87
"137","Women","Katharina Steinruck","Germany",155
"138","Women","Giovanna Epis","Italy",155.15
"139","Women","Honami Maeda","Japan",155.47
"140","Women","Choi Kyung-sun","South Korea",155.55
"141","Women","Aleksandra Lisowska","Poland",155.55
"142","Women","Darya Maslova","Kyrgyzstan",155.58
"143","Women","Marta Galimany","Spain",155.65
"144","Women","Susan Jeptooo Kipsang","France",156.48
"145","Women","Stephanie Davis","Great Britain",156.55
"146","Women","Jovana de la Cruz","Peru",156.63
"147","Women","Rosa Chacha","Ecuador",156.73
"148","Women","Yevheniya Prokofyeva","Ukraine",156.78
"149","Women","Nazret Weldu","Eritrea",157.02
"150","Women","Andrea Deelstra","Netherlands",157.08
"151","Women","Bayartsogtyn Monkhzayaa","Mongolia",157.13
"152","Women","Zhanna Mamazhanova","Kazakhstan",157.7
"153","Women","Zhang Deshun","China",157.75
"154","Women","Maor Tiyouri","Israel",157.87
"155","Women","Hanne Verbruggen","Belgium",158.05
"156","Women","Nina Savina","Belarus",158.68
"157","Women","Martina Strahl","Switzerland",159.42
"158","Women","Marcela Joglova","Czech Republic",159.48
"159","Women","Bojana Bjeljac","Croatia",159.53
"160","Women","Lilia Fisikovici","Moldova",159.98
"161","Women","Angie Orjuela","Colombia",160.07
"162","Women","Rkia El Moukim","Morocco",160.17
"163","Women","Ahn Seul-ki","South Korea",161.18
"164","Women","Tereza Hrochova","Czech Republic",162.42
"165","Women","Angelika Mach","Poland",162.43
"166","Women","Andrea Bonilla","Ecuador",163.5
"167","Women","Marcela Cristina Gomez","Argentina",164.15
"168","Women","Li Zhixuan","China",165.38
"169","Women","Jill Holterman","Netherlands",165.45
"170","Women","Ursula Sanchez","Mexico",165.75
"171","Women","Daniela Torres Huerta","Mexico",167.25
"172","Women","Lonah Chemtai Salpeter","Israel",168.52
"173","Women","Bai Li","China",169.35
"174","Women","Stephanie Twell","Great Britain",173.43
"175","Women","Juliet Chekwel","Uganda",173.67
"176","Women","Catarina Ribeiro","Portugal",175.02
"177","Women","Jess Piasecki","Great Britain",175.65
"178","Women","Sharon Firisua","Solomon Islands",182.17
"179","Women","Dayna Pidhoresky","Canada",183.17
"180","Women","Andrea Ramirez Limon","Mexico",NA
"181","Women","Ruth Chepng'etich","Kenya",NA
"182","Women","Laura Mendez Esquer","Spain",NA
"183","Women","Birhane Dibaba","Ethiopia",NA
"184","Women","Tejitu Daba","Bahrain",NA
"185","Women","Kokob Tesfagabriel","Eritrea",NA
"186","Women","Viktoriia Kaliuzhna","Ukraine",NA
"187","Women","Irvette van Zyl","South Africa",NA
"188","Women","Sara Moreira","Portugal",NA
"189","Women","Aliphine Tuliamuk","United States",NA
"190","Women","Aoife Cooke","Ireland",NA
"191","Women","Darya Mykhaylova","Ukraine",NA
"192","Women","Zeineba Yimer","Ethiopia",NA
"193","Women","Eva Vrabcova-Nyvltova","Czech Republic",NA
"194","Women","Meryem Erdogan","Turkey",NA
