City,Month,Rain
Adelaide,Jan,20
Brisbane,Jan,115
Canberra,Jan,55
Darwin,Jan,466
Hobart,Jan,44
Melbourne,Jan,40
Perth,Jan,18
Sydney,Jan,80
Adelaide,Feb,13
Brisbane,Feb,145
Canberra,Feb,53
Darwin,Feb,373
Hobart,Feb,36
Melbourne,Feb,37
Perth,Feb,14
Sydney,Feb,119
Adelaide,Mar,27
Brisbane,Mar,108
Canberra,Mar,45
Darwin,Mar,335
Hobart,Mar,39
Melbourne,Mar,39
Perth,Mar,21
Sydney,Mar,88
Adelaide,Apr,39
Brisbane,Apr,104
Canberra,Apr,41
Darwin,Apr,108
Hobart,Apr,43
Melbourne,Apr,38
Perth,Apr,36
Sydney,Apr,119
Adelaide,May,61
Brisbane,May,109
Canberra,May,38
Darwin,May,25
Hobart,May,36
Melbourne,May,36
Perth,May,87
Sydney,May,107
Adelaide,Jun,80
Brisbane,Jun,65
Canberra,Jun,45
Darwin,Jun,2
Hobart,Jun,43
Melbourne,Jun,39
Perth,Jun,128
Sydney,Jun,100
Adelaide,Jul,76
Brisbane,Jul,46
Canberra,Jul,48
Darwin,Jul,1
Hobart,Jul,47
Melbourne,Jul,39
Perth,Jul,148
Sydney,Jul,73
Adelaide,Aug,70
Brisbane,Aug,41
Canberra,Aug,46
Darwin,Aug,6
Hobart,Aug,61
Melbourne,Aug,43
Perth,Aug,121
Sydney,Aug,74
Adelaide,Sep,59
Brisbane,Sep,33
Canberra,Sep,52
Darwin,Sep,17
Hobart,Sep,59
Melbourne,Sep,44
Perth,Sep,82
Sydney,Sep,62
Adelaide,Oct,42
Brisbane,Oct,81
Canberra,Oct,51
Darwin,Oct,65
Hobart,Oct,56
Melbourne,Oct,51
Perth,Oct,40
Sydney,Oct,64
Adelaide,Nov,30
Brisbane,Nov,98
Canberra,Nov,69
Darwin,Nov,137
Hobart,Nov,48
Melbourne,Nov,61
Perth,Nov,26
Sydney,Nov,85
Adelaide,Dec,30
Brisbane,Dec,136
Canberra,Dec,61
Darwin,Dec,276
Hobart,Dec,56
Melbourne,Dec,51
Perth,Dec,10
Sydney,Dec,74
