Event,Athlete,Country,Time
Men,Eliud Kipchoge,Kenya,2:08:38
Men,Abdi Nageeye,Netherlands,2:09:58
Men,Bashir Abdi,Belgium,2:10:00
Men,Lawrence Cherono,Kenya,2:10:02
Men,Ayad Lamdassem,Spain,2:10:16
Men,Suguru Osako,Japan,2:10:41
Men,Alphonce Simbu,Tanzania,2:11:35
Men,Galen Rupp,United States,2:11:41
Men,Othmane El Goumri,Morocco,2:11:58
Men,Koen Naert,Belgium,2:12:13
Men,Mohamed Reda El Aaraby,Morocco,2:12:22
Men,Nicolas Navarro,France,2:12:50
Men,Marhu Teferi,Israel,2:13:02
Men,Goitom Kifle,Eritrea,2:13:22
Men,Jeison Suárez,Colombia,2:13:29
Men,Tachlowini Gabriyesos,Refugee Olympic Team,2:14:02
Men,Morhad Amdouni,France,2:14:33
Men,Hamza Sahli,Morocco,2:14:48
Men,Yang Shaohui,China,2:14:58
Men,Eyob Faniel,Italy,2:15:11
Men,Daniel Mateo,Spain,2:15:21
Men,Yohanes Ghebregergis,Eritrea,2:15:34
Men,Abdi Hakin Ulad,Denmark,2:15:50
Men,Liam Adams,Australia,2:15:51
Men,El-Hassan El-Abbassi,Bahrain,2:15:56
Men,Richard Ringer,Germany,2:16:08
Men,Tiidrek Nurme,Estonia,2:16:16
Men,Girmaw Amare,Israel,2:16:17
Men,Jacob Riley,United States,2:16:26
Men,Amanal Petros,Germany,2:16:33
Men,Eulalio Muñoz,Argentina,2:16:35
Men,Peng Jianhua,China,2:16:39
Men,Javier Guerra,Spain,2:16:42
Men,Elroy Gelant,South Africa,2:16:43
Men,Oqbe Kibrom Ruesom,Eritrea,2:16:57
Men,Zane Robertson,New Zealand,2:17:04
Men,Haimro Alame,Israel,2:17:17
Men,Adam Nowicki,Poland,2:17:19
Men,Olivier Irabaruta,Burundi,2:17:44
Men,Sondre Nordstad Moen,Norway,2:17:59
Men,Abdihakem Abdirahman,United States,2:18:27
Men,Tomas Hilifa Rainhold,Namibia,2:18:28
Men,Derlis Ayala,Paraguay,2:18:34
Men,Fred Musobo,Uganda,2:18:39
Men,Hassan Chahdi,France,2:18:40
Men,Ben Preisner,Canada,2:19:27
Men,Yassine El Fathaoui,Italy,2:19:44
Men,Trevor Hofbauer,Canada,2:19:57
Men,Shim Jung-sub,South Korea,2:20:36
Men,Hendrik Pfeiffer,Germany,2:20:43
Men,Felix Chemonges,Uganda,2:20:53
Men,Yavuz Ağralı,Turkey,2:21:00
Men,Joaquín Arbe,Argentina,2:21:15
Men,Chris Thompson,Great Britain,2:21:29
Men,Tseveenravdangiin Byambajav,Mongolia,2:21:32
Men,José Luis Santana,Mexico,2:21:32
Men,Dong Guojian,China,2:21:35
Men,Kevin Seaward,Ireland,2:21:45
Men,Dieter Kersten,Belgium,2:22:06
Men,Cristhian Pacheco,Peru,2:22:12
Men,Peter Herzog,Austria,2:22:15
Men,Shogo Nakamura,Japan,2:22:23
Men,Arkadiusz Gardzielewski,Poland,2:22:50
Men,Malcolm Hicks,New Zealand,2:23:12
Men,Juan Pacheco,Mexico,2:23:41
Men,Brett Robinson,Australia,2:24:04
Men,Khoarahlane Seutloali,Lesotho,2:25:03
Men,Roman Fosti,Estonia,2:25:37
Men,Paulo Roberto Paula,Brazil,2:26:08
Men,Thijs Nijhuis,Denmark,2:26:59
Men,Paul Pollock,Ireland,2:27:48
Men,Cameron Levins,Canada,2:28:43
Men,Yuma Hattori,Japan,2:30:08
Men,Jesús Arturo Esparza,Mexico,2:31:51
Men,Jorge Castelblanco,Panama,2:33:22
Men,Iván Zarco,Honduras,2:44:36
Men,Amos Kipruto,Kenya,
Men,Bart van Nunen,Netherlands,
Men,Stephen Mokoka,South Africa,
Men,Lelisa Desisa,Ethiopia,
Men,John Hakizimana,Rwanda,
Men,Khalid Choukoud,Netherlands,
Men,Marcin Chabowski,Poland,
Men,Ben Connor,Great Britain,
Men,Desmond Mokgobu,South Africa,
Men,Bat-Ochiryn Ser-Od,Mongolia,
Men,Daniel Ferreira do Nascimento,Brazil,
Men,Tadesse Abraham,Switzerland,
Men,Yassine Rachik,Italy,
Men,Callum Hawkins,Great Britain,
Men,Bohdan-Ivan Horodyskyy,Ukraine,
Men,Polat Kemboi Arıkan,Turkey,
Men,Iván Darío González,Colombia,
Men,Sisay Lemma,Ethiopia,
Men,Shumi Dechasa,Bahrain,
Men,Mykola Nyzhnyk,Ukraine,
Men,Lemawork Ketema,Austria,
Men,Stephen Scullion,Ireland,
Men,Oh Joo-han,South Korea,
Men,Alemu Bekele,Bahrain,
Men,Stephen Kiprotich,Uganda,
Men,Gabriel Geay,Tanzania,
Men,Daniel Chaves da Silva,Brazil,
Men,Oleksandr Sitkovskyy,Ukraine,
Men,Shura Kitata,Ethiopia,
Men,Jack Rayner,Australia,
Women,Peres Jepchirchir,Kenya,2:27:20
Women,Brigid Kosgei,Kenya,2:27:36
